Author,Period,Work,Tokenized Text,Text,Lemmatized Text
Juvenal,Silver,Satires,"['semper', 'ego', 'auditor', 'tantum', '?']", semper ego auditor tantum ?,"[ 'semper', 'ego', 'auditor', 'tantum', '?']"
Juvenal,Silver,Satires,"['numquamne', 'reponam', 'vexatus', 'totiens', 'rauci', 'theseide', 'cordi', '?']",numquamne reponam vexatus totiens rauci theseide cordi ?,"['nusquismus', 'repono', 'vexatus', 'totior', 'raucus', 'thesedo', 'cor', '?']"
Juvenal,Silver,Satires,"['inpune', 'ergo', 'mihi', 'recitaverit', 'ille', 'togatas', 'hic', 'elegos', '?']",inpune ergo mihi recitaverit ille togatas hic elegos ?,"['inpun', 'ergo', 'ego', 'recito', 'ille', 'togo', 'hic', 'elegus', '?']"
Juvenal,Silver,Satires,"['inpune', 'diem', 'consumpserit', 'ingens', 'telephus', 'aut', 'summi', 'plena', 'iam', 'margine', 'libri', 'scriptus', 'et', 'in', 'tergo', 'necdum', 'finitus', 'orestes', '?']",inpune diem consumpserit ingens telephus aut summi plena iam margine libri scriptus et in tergo necdum finitus orestes ?,"['inpun', 'dies', 'consumo', 'ingens', 'telephus', 'aut', 'summus', 'plenus', 'iam', 'margo', 'liber', 'scribo', 'et', 'in', 'tergo', 'necdum', 'finio', 'orestis', '?']"
Juvenal,Silver,Satires,"['nota', 'magis', 'nulli', 'domus', 'est', 'sua', 'quam', 'mihi', 'lucus', 'martis', 'et', 'aeoliis', 'vicinum', 'rupibus', 'antrum', 'vulcani', '.']",nota magis nulli domus est sua quam mihi lucus martis et aeoliis vicinum rupibus antrum vulcani .,"['nosco', 'magis', 'nullus', 'domus', 'sum', 'suus', 'quam', 'ego', 'lucus', 'mars', 'et', 'aeolius', 'vicinum', 'rupus', 'anter', 'vulcani', '.']"
Juvenal,Silver,Satires,"['quid', 'agant', 'venti', 'quas', 'torqueat', 'umbras', 'aeacus', 'unde', 'alius', 'furtivae', 'devehat', 'aurum', 'pelliculae', 'quantas', 'iaculetur', 'monychus', 'ornos', 'frontonis', 'platani', 'convulsaque', 'marmora', 'clamant', 'semper', 'et', 'adsiduo', 'ruptae', 'lectore', 'columnae', 'expectes', 'eadem', 'a', 'summo', 'minimoque', 'poeta', 'et', 'nos', 'ergo', 'manum', 'ferulae', 'subduximus', 'et', 'nos', 'consilium', 'dedimus', 'sullae', 'privatus', 'ut', 'altum', 'dormiret', 'stulta', 'est', 'clementia', 'cum', 'tot', 'ubique', 'vatibus', 'occurras', 'periturae', 'parcere', 'chartae', '.']",quid agant venti quas torqueat umbras aeacus unde alius furtivae devehat aurum pelliculae quantas iaculetur monychus ornos frontonis platani convulsaque marmora clamant semper et adsiduo ruptae lectore columnae expectes eadem a summo minimoque poeta et nos ergo manum ferulae subduximus et nos consilium dedimus sullae privatus ut altum dormiret stulta est clementia cum tot ubique vatibus occurras periturae parcere chartae .,"['quis', 'ago', 'venti', 'qui', 'torqueo', 'umbra', 'aeacus', 'unde', 'alius', 'furtivae', 'devehat', 'aurum', 'pellicula', 'quantus', 'iaculo', 'monychus', 'ornis', 'fronto', 'platanus', 'convulsaque', 'marnus', 'clamo', 'semper', 'et', 'adsiduo', 'refero', 'lector', 'columna', 'exspehio', 'idem', 'ab', 'summus', 'minimus', 'poeta', 'et', 'nos', 'ergo', 'manus', 'ferula', 'subduco', 'et', 'nos', 'consilium', 'dedeo', 'sulla', 'privatus', 'ut', 'altus', 'dormio', 'stultus', 'sum', 'clementia', 'cum', 'tot', 'ubique', 'vatibus', 'occurro', 'peritura', 'parco', 'charta', '.']"
Juvenal,Silver,Satires,"['cur', 'tamen', 'hoc', 'potius', 'libeat', 'decurrere', 'campo', 'per', 'quem', 'magnus', 'equos', 'auruncae', 'flexit', 'alumnus', 'si', 'vacat', 'ac', 'placidi', 'rationem', 'admittitis', 'edam', '.']",cur tamen hoc potius libeat decurrere campo per quem magnus equos auruncae flexit alumnus si vacat ac placidi rationem admittitis edam .,"['cur', 'tamen', 'hic', 'potius', 'libeo', 'decurro', 'campus', 'per', 'qui', 'magnus', 'equus', 'auruncus', 'flegio', 'alumnus', 'si', 'vacat', 'atque', 'placidus', 'ratio', 'admitto', 'sum', '.']"
Juvenal,Silver,Satires,"['cum', 'tener', 'uxorem', 'ducat', 'spado', 'mevia', 'tuscum', 'figat', 'aprum', 'et', 'nuda', 'teneat', 'venabula', 'mamma', 'patricios', 'omnis', 'opibus', 'cum', 'provocet', 'unus', 'quo', 'tondente', 'gravis', 'iuveni', 'mihi', 'barba', 'sonabat', 'cum', 'pars', 'niliacae', 'plebis', 'cum', 'verna', 'canopi', 'crispinus', 'tyrias', 'umero', 'revocante', 'lacernas', 'ventilet', 'aestivum', 'digitis', 'sudantibus', 'aurum', 'nec', 'sufferre', 'queat', 'maioris', 'pondera', 'gemmae', 'difficile', 'est', 'saturam', 'non', 'scribere', 'nam', 'quis', 'iniquae', 'tam', 'patiens', 'urbis', 'tam', 'ferreus', 'ut', 'teneat', 'se', 'causidici', 'nova', 'cum', 'veniat', 'lectica', 'mathonis', 'plena', 'ipso', 'post', 'hunc', 'magni', 'delator', 'amici', 'et', 'cito', 'rapturus', 'de', 'nobilitate', 'comesa', 'quod', 'superest', 'quem', 'massa', 'timet', 'quem', 'munere', 'palpat', 'carus', 'et', 'a', 'trepido', 'thymele', 'summissa', 'latino', '?']",cum tener uxorem ducat spado mevia tuscum figat aprum et nuda teneat venabula mamma patricios omnis opibus cum provocet unus quo tondente gravis iuveni mihi barba sonabat cum pars niliacae plebis cum verna canopi crispinus tyrias umero revocante lacernas ventilet aestivum digitis sudantibus aurum nec sufferre queat maioris pondera gemmae difficile est saturam non scribere nam quis iniquae tam patiens urbis tam ferreus ut teneat se causidici nova cum veniat lectica mathonis plena ipso post hunc magni delator amici et cito rapturus de nobilitate comesa quod superest quem massa timet quem munere palpat carus et a trepido thymele summissa latino ?,"['cum', 'tener', 'uxor', 'duco', 'spadus', 'mevia', 'tuscus', 'figo', 'aprum', 'et', 'nudus', 'teneo', 'venabula', 'mamma', 'patricius', 'omnis', 'opus', 'cum', 'provocet', 'unus', 'qui', 'tondeo', 'gravis', 'iuveni', 'ego', 'barba', 'sono', 'cum', 'pars', 'niliacus', 'plebs', 'cum', 'verna', 'canopus', 'crispinus', 'tyrias', 'umerum', 'revocante', 'lacerna', 'ventilet', 'aestivum', 'digitus', 'sudo', 'aurum', 'nec', 'suffero', 'queo', 'magnus', 'pondera', 'gemma', 'difficilis', 'sum', 'satura', 'non', 'scribo', 'nam', 'quis', 'iniquus', 'tam', 'patiens', 'urba', 'tam', 'ferreus', 'ut', 'teneo', 'se', 'causidicus', 'nova', 'cum', 'veniat', 'lecticus', 'matho', 'plenus', 'ipse', 'post', 'hic', 'magnus', 'delator', 'amicus', 'et', 'cito', 'rapo', 'de', 'nobilitas', 'comes', 'qui', 'supersum', 'qui', 'massa', 'timeo', 'qui', 'munus', 'palpo', 'carus', 'et', 'ab', 'trepidus', 'thymel', 'summissus', 'latinus', '?']"
Juvenal,Silver,Satires,"['cum', 'te', 'summoveant', 'qui', 'testamenta', 'merentur', 'noctibus', 'in', 'caelum', 'quos', 'evenit', 'optima', 'summi', 'nunc', 'via', 'processus', 'vetulae', 'vesica', 'beatae', '?']",cum te summoveant qui testamenta merentur noctibus in caelum quos evenit optima summi nunc via processus vetulae vesica beatae ?,"['cum', 'tu', 'summoveant', 'qui', 'testamentum', 'mereo', 'nox', 'in', 'caelum', 'qui', 'evenit', 'bonus', 'summus', 'nunc', 'via', 'processus', 'vetulae', 'vesica', 'beatus', '?']"
Juvenal,Silver,Satires,"['unciolam', 'proculeius', 'habet', 'sed', 'gillo', 'deuncem', 'partes', 'quisque', 'suas', 'ad', 'mensuram', 'inguinis', 'heres', 'accipiat', 'sane', 'mercedem', 'sanguinis', 'et', 'sic', 'palleat', 'ut', 'nudis', 'pressit', 'qui', 'calcibus', 'anguem', 'aut', 'lugudunensem', 'rhetor', 'dicturus', 'ad', 'aram', '.']",unciolam proculeius habet sed gillo deuncem partes quisque suas ad mensuram inguinis heres accipiat sane mercedem sanguinis et sic palleat ut nudis pressit qui calcibus anguem aut lugudunensem rhetor dicturus ad aram .,"['unciolus', 'proculeis', 'habeo', 'sed', 'gillum', 'deuncem', 'pars', 'quisque', 'suus', 'ad', 'mensura', 'inguinus', 'hier', 'accipio', 'sane', 'merces', 'sanguis', 'et', 'sic', 'pallo', 'ut', 'nus', 'preo', 'qui', 'calius', 'angua', 'aut', 'luguduno', 'rhetor', 'dico', 'ad', 'ara', '.']"
