Author,Period,Work,Tokenized Text,Text,Lemmatized Text
Tertullian,Patristic,Apologet,"['si', 'non', 'licet', 'vobis', 'romani', 'imperii', 'antistites', 'in', 'aperto', 'et', 'edito', 'in', 'ipso', 'fere', 'vertice', 'civitatis', 'praesidentibus', 'ad', 'iudicandum', 'palam', 'dispicere', 'et', 'coram', 'examinare', 'quid', 'sit', 'liquido', 'in', 'causa', 'christianorum', 'si', 'ad', 'hanc', 'solam', 'speciem', 'auctoritas', 'vestra', 'de', 'iustitiae', 'diligentia', 'in', 'publico', 'aut', 'timet', 'aut', 'erubescit', 'inquirere', 'si', 'denique', 'quod', 'proxime', 'accidit', 'domesticis', 'iudiciis', 'nimis', 'operata', 'infestatio', 'sectae', 'huius', 'obstruit', 'defensioni', 'liceat', 'veritati', 'vel', 'occulta', 'via', 'tacitarum', 'litterarum', 'ad', 'aures', 'vestras', 'pervenire', '.']",si non licet vobis romani imperii antistites in aperto et edito in ipso fere vertice civitatis praesidentibus ad iudicandum palam dispicere et coram examinare quid sit liquido in causa christianorum si ad hanc solam speciem auctoritas vestra de iustitiae diligentia in publico aut timet aut erubescit inquirere si denique quod proxime accidit domesticis iudiciis nimis operata infestatio sectae huius obstruit defensioni liceat veritati vel occulta via tacitarum litterarum ad aures vestras pervenire .,"['si', 'non', 'licet', 'vobis', 'romanus', 'imperium', 'antistis', 'in', 'aperio', 'et', 'edo', 'in', 'ipse', 'fere', 'vertice', 'civitatis', 'praesideo', 'ad', 'iudico', 'palam', 'dispico', 'et', 'coram', 'examinor', 'quis', 'sum', 'liquido', 'in', 'causa', 'christianus', 'si', 'ad', 'hic', 'solus', 'species', 'auctoritas', 'vestra', 'de', 'iustitia', 'diligentia', 'in', 'publicus', 'aut', 'timeo', 'aut', 'erubesco', 'inquiro', 'si', 'denique', 'qui', 'proxime', 'accido', 'domesticus', 'iudicium', 'nimis', 'operor', 'infestatio', 'secta', 'hic', 'obstruo', 'defensio', 'licet', 'veritati', 'vel', 'occulo', 'via', 'tacitus', 'littera', 'ad', 'auris', 'vestras', 'pervenire', '.']"
Tertullian,Patristic,Apologet,"['nihil', 'de', 'causa', 'sua', 'deprecatur', 'quia', 'nec', 'de', 'condicione', 'miratur', '.']",nihil de causa sua deprecatur quia nec de condicione miratur .,"['nihil', 'de', 'causa', 'suus', 'depreco', 'quia', 'nec', 'de', 'condicio', 'miror', '.']"
Tertullian,Patristic,Apologet,"['scit', 'se', 'peregrinam', 'in', 'terris', 'agere', 'inter', 'extraneos', 'facile', 'inimicos', 'invenire', 'ceterum', 'genus', 'sedem', 'spem', 'gratiam', 'dignitatem', 'in', 'caelis', 'habere', '.']",scit se peregrinam in terris agere inter extraneos facile inimicos invenire ceterum genus sedem spem gratiam dignitatem in caelis habere .,"['scio', 'se', 'peregrinus', 'in', 'terra', 'ago', 'inter', 'extraneus', 'facile', 'inimicus', 'invenire', 'ceterum', 'genus', 'sedes', 'spes', 'gratia', 'dignitas', 'in', 'caelum', 'habeo', '.']"
Tertullian,Patristic,Apologet,"['unum', 'gestit', 'interdum', 'ne', 'ignorata', 'damnetur', 'quid', 'hic', 'deperit', 'legibus', 'in', 'suo', 'regno', 'dominantibus', 'si', 'audiatur', '?']",unum gestit interdum ne ignorata damnetur quid hic deperit legibus in suo regno dominantibus si audiatur ?,"['unus', 'gestio', 'interdum', 'ne', 'ignoro', 'damno', 'quis', 'hic', 'depereo', 'lex', 'in', 'suus', 'regnum', 'dominor', 'si', 'audio', '?']"
Tertullian,Patristic,Apologet,"['an', 'hoc', 'magis', 'gloriabitur', 'potestas', 'eorum', 'quo', 'etiam', 'auditam', 'damnabunt', 'veritatem', '?']",an hoc magis gloriabitur potestas eorum quo etiam auditam damnabunt veritatem ?,"['an', 'hic', 'magis', 'glorio', 'potestas', 'is', 'qui', 'etiam', 'audio', 'damno', 'veritatem', '?']"
Tertullian,Patristic,Apologet,"['ceterum', 'inauditam', 'si', 'damnent', 'praeter', 'invidiam', 'iniquitatis', 'etiam', 'suspicionem', 'merebuntur', 'alicuius', 'conscientiae', 'nolentes', 'audire', 'quod', 'auditum', 'damnare', 'non', 'possint', '.']",ceterum inauditam si damnent praeter invidiam iniquitatis etiam suspicionem merebuntur alicuius conscientiae nolentes audire quod auditum damnare non possint .,"['ceterum', 'inauditus', 'si', 'damno', 'praeter', 'invidiam', 'iniquitas', 'etiam', 'suspicio', 'mereo', 'aliqui', 'conscientia', 'nolo', 'audio', 'quod', 'auditus', 'damno', 'non', 'possum', '.']"
Tertullian,Patristic,Apologet,"['hanc', 'itaque', 'primam', 'causam', 'apud', 'vos', 'collocamus', 'iniquitatis', 'odii', 'erga', 'nomen', 'christianorum', '.']",hanc itaque primam causam apud vos collocamus iniquitatis odii erga nomen christianorum .,"['hic', 'itaque', 'primus', 'causa', 'apud', 'vos', 'colloco', 'iniquitas', 'odium', 'erga', 'nomen', 'christianus', '.']"
Tertullian,Patristic,Apologet,"['quam', 'iniquitatem', 'idem', 'titulus', 'et', 'onerat', 'et', 'revincit', 'qui', 'videtur', 'excusare', 'ignorantia', 'scilicet', '.']",quam iniquitatem idem titulus et onerat et revincit qui videtur excusare ignorantia scilicet .,"['qui', 'iniquitas', 'idem', 'titulus', 'et', 'onero', 'et', 'revincit', 'qui', 'videtur', 'excuso', 'ignorantia', 'scilicet', '.']"
Tertullian,Patristic,Apologet,"['quid', 'enim', 'iniquius', 'quam', 'ut', 'oderint', 'homines', 'quod', 'ignorant', 'etiam', 'si', 'res', 'meretur', 'odium', '?']",quid enim iniquius quam ut oderint homines quod ignorant etiam si res meretur odium ?,"['quis', 'enim', 'iniquus', 'quam', 'ut', 'odi', 'homo', 'qui', 'ignoro', 'etiam', 'si', 'res', 'mereo', 'odium', '?']"
Tertullian,Patristic,Apologet,"['tunc', 'etenim', 'meretur', 'cum', 'cognoscitur', 'an', 'mereatur', '.']",tunc etenim meretur cum cognoscitur an mereatur .,"['tunc', 'etenim', 'mereo', 'cum', 'cognosco', 'an', 'mereo', '.']"
